site,doy,lat,lon,variable,value
SMI,2.0,44.41897,-92.942041,precip_cum,-0.019903674527695037
SMI,3.0,44.41897,-92.942041,precip_cum,8.413574572041504e-07
SMI,4.0,44.41897,-92.942041,precip_cum,-3.6983953544122983e-07
SMI,5.0,44.41897,-92.942041,precip_cum,-6.20767215409046e-09
SMI,6.0,44.41897,-92.942041,precip_cum,0.01911184049056569
SMI,7.0,44.41897,-92.942041,precip_cum,-0.004311975833809711
SMI,8.0,44.41897,-92.942041,precip_cum,-0.05624833069603863
SMI,9.0,44.41897,-92.942041,precip_cum,-0.11960268790944362
SMI,10.0,44.41897,-92.942041,precip_cum,-0.05296390114657967
SMI,11.0,44.41897,-92.942041,precip_cum,-0.00750357488718123
SMI,12.0,44.41897,-92.942041,precip_cum,-0.011022848369989902
SMI,13.0,44.41897,-92.942041,precip_cum,0.02407579880225086
SMI,14.0,44.41897,-92.942041,precip_cum,-0.0036671350311081596
SMI,15.0,44.41897,-92.942041,precip_cum,0.13976979240013065
SMI,16.0,44.41897,-92.942041,precip_cum,0.13435682663164528
SMI,17.0,44.41897,-92.942041,precip_cum,-0.047767707023389505
SMI,18.0,44.41897,-92.942041,precip_cum,0.40066166047903096
SMI,19.0,44.41897,-92.942041,precip_cum,0.5029306167022511
SMI,20.0,44.41897,-92.942041,precip_cum,0.36880806576495573
SMI,21.0,44.41897,-92.942041,precip_cum,0.3894600994537356
SMI,22.0,44.41897,-92.942041,precip_cum,0.410451493491756
SMI,23.0,44.41897,-92.942041,precip_cum,0.7436810606827393
SMI,24.0,44.41897,-92.942041,precip_cum,0.8524503688906435
SMI,25.0,44.41897,-92.942041,precip_cum,0.7920972377986715
SMI,26.0,44.41897,-92.942041,precip_cum,0.7831873061889585
SMI,27.0,44.41897,-92.942041,precip_cum,0.7871853838147178
SMI,28.0,44.41897,-92.942041,precip_cum,0.7819074635046057
SMI,29.0,44.41897,-92.942041,precip_cum,0.8072539643070344
SMI,30.0,44.41897,-92.942041,precip_cum,0.7979114549666235
SMI,31.0,44.41897,-92.942041,precip_cum,0.7575895898559661
SMI,32.0,44.41897,-92.942041,precip_cum,0.7410829594913864
SMI,33.0,44.41897,-92.942041,precip_cum,0.7733469205289509
SMI,34.0,44.41897,-92.942041,precip_cum,0.7725445669741351
SMI,35.0,44.41897,-92.942041,precip_cum,0.7806953237621368
SMI,36.0,44.41897,-92.942041,precip_cum,0.8538383568303196
SMI,37.0,44.41897,-92.942041,precip_cum,0.8507349389066317
SMI,38.0,44.41897,-92.942041,precip_cum,0.7953397992199243
SMI,39.0,44.41897,-92.942041,precip_cum,0.8240808758045688
SMI,40.0,44.41897,-92.942041,precip_cum,1.286037399582682
SMI,41.0,44.41897,-92.942041,precip_cum,1.584100951605957
SMI,42.0,44.41897,-92.942041,precip_cum,1.4415889462871831
SMI,43.0,44.41897,-92.942041,precip_cum,1.3673446556353737
SMI,44.0,44.41897,-92.942041,precip_cum,1.399447776598282
SMI,45.0,44.41897,-92.942041,precip_cum,1.3877739767663482
SMI,46.0,44.41897,-92.942041,precip_cum,1.3716768279717968
SMI,47.0,44.41897,-92.942041,precip_cum,1.3331486222179176
SMI,48.0,44.41897,-92.942041,precip_cum,1.3756568458674643
SMI,49.0,44.41897,-92.942041,precip_cum,1.5639860455358807
SMI,50.0,44.41897,-92.942041,precip_cum,1.6256801380852766
SMI,51.0,44.41897,-92.942041,precip_cum,1.6389809852624708
SMI,52.0,44.41897,-92.942041,precip_cum,1.627665880761775
SMI,53.0,44.41897,-92.942041,precip_cum,1.6399770874111268
SMI,54.0,44.41897,-92.942041,precip_cum,1.6575243644975015
SMI,55.0,44.41897,-92.942041,precip_cum,1.649987502603056
SMI,56.0,44.41897,-92.942041,precip_cum,1.6256803259564307
SMI,57.0,44.41897,-92.942041,precip_cum,1.6305403328861514
SMI,58.0,44.41897,-92.942041,precip_cum,1.6592913967859033
SMI,59.0,44.41897,-92.942041,precip_cum,1.6544707160427337
SMI,60.0,44.41897,-92.942041,precip_cum,1.6371779468969798
SMI,61.0,44.41897,-92.942041,precip_cum,1.6294276192193244
SMI,62.0,44.41897,-92.942041,precip_cum,1.6267415136812544
SMI,63.0,44.41897,-92.942041,precip_cum,1.628091722222908
SMI,64.0,44.41897,-92.942041,precip_cum,1.686122786519304
SMI,65.0,44.41897,-92.942041,precip_cum,1.6745877380889311
